Algorithm,Instance,Run,Time.s,Accuracy
Standard,Inst33,7,171.8,0.943
Standard,Inst33,8,142.6,0.917
Standard,Inst33,9,179.2,0.927
Standard,Inst33,10,159.5,0.936
Standard,Inst33,11,173.4,0.931
Standard,Inst33,12,168.2,0.905
Standard,Inst33,13,148.1,0.903
Standard,Inst33,14,161.3,0.925
Standard,Inst33,15,175.8,0.923
Standard,Inst33,16,173.9,0.967
Standard,Inst33,17,170.8,0.923
Standard,Inst33,18,188.6,0.922
Standard,Inst33,19,212.6,0.921
Standard,Inst33,20,154.3,0.925
Standard,Inst33,21,170.7,0.931
Standard,Inst33,22,129.8,0.928
Standard,Inst33,23,166.7,0.955
Standard,Inst33,24,177.7,0.946
Standard,Inst33,25,164.1,0.934
Standard,Inst33,26,180.7,0.931
Standard,Inst33,27,134,0.935
Standard,Inst33,28,174.3,0.906
Standard,Inst33,29,152.9,0.931
Standard,Inst33,30,189.5,0.924
Standard,Inst34,1,176,0.86
Standard,Inst34,2,183.3,0.933
Standard,Inst34,3,186.4,0.851
Standard,Inst34,4,169.8,0.913
Standard,Inst34,5,164.6,0.904
Standard,Inst34,6,158.2,0.931
Standard,Inst34,7,140.7,0.88
Standard,Inst34,8,140.3,0.897
Standard,Inst34,9,145.4,0.896
Standard,Inst34,10,165.4,0.897
Standard,Inst34,11,169.8,0.905
Standard,Inst34,12,172.9,0.896
Standard,Inst34,13,152.1,0.91
Standard,Inst34,14,176.7,0.89
Standard,Inst34,15,184.8,0.944
Standard,Inst34,16,171.9,0.899
Standard,Inst34,17,141.4,0.871
Standard,Inst34,18,182,0.885
Standard,Inst34,19,181.5,0.906
Standard,Inst34,20,175.4,0.896
Standard,Inst34,21,157.3,0.914
Standard,Inst34,22,174.9,0.88
Standard,Inst34,23,159,0.897
Standard,Inst34,24,155,0.92
Standard,Inst34,25,199,0.903
Standard,Inst34,26,157,0.917
Standard,Inst34,27,139.9,0.889
Standard,Inst34,28,160.7,0.906
Standard,Inst34,29,139,0.905
Standard,Inst34,30,147.5,0.906
Standard,Inst35,1,185.4,0.906
Standard,Inst35,2,195.7,0.893
Standard,Inst35,3,179.7,0.889
Standard,Inst35,4,158.7,0.936
Standard,Inst35,5,147.5,0.896
Standard,Inst35,6,160.9,0.916
Standard,Inst35,7,131.3,0.878
Standard,Inst35,8,181,0.907
Standard,Inst35,9,158.5,0.893
Standard,Inst35,10,175.9,0.896
Standard,Inst35,11,196.5,0.867
Standard,Inst35,12,182.9,0.902
Standard,Inst35,13,179.9,0.893
Standard,Inst35,14,158.1,0.882
Standard,Inst35,15,183.8,0.885
Standard,Inst35,16,165.1,0.894
Standard,Inst35,17,202.3,0.906
Standard,Inst35,18,170,0.895
Standard,Inst35,19,183.4,0.962
Standard,Inst35,20,193.5,0.902
Standard,Inst35,21,160.2,0.872
Standard,Inst35,22,188.7,0.958
Standard,Inst35,23,173,0.909
Standard,Inst35,24,205.9,0.917
Standard,Inst35,25,184,0.918
Standard,Inst35,26,177.8,0.941
Standard,Inst35,27,129,0.895
Standard,Inst35,28,171,0.908
Standard,Inst35,29,154.7,0.93
Standard,Inst35,30,184,0.951
Standard,Inst36,1,143.1,0.889
Standard,Inst36,2,150.3,0.909
Standard,Inst36,3,187.2,0.865
Standard,Inst36,4,164.6,0.878
Standard,Inst36,5,155,0.886
Standard,Inst36,6,178.7,0.88
Standard,Inst36,7,175.1,0.855
Standard,Inst36,8,142.3,0.883
Standard,Inst36,9,140,0.854
Standard,Inst36,10,133,0.866
Standard,Inst36,11,176.7,0.865
Standard,Inst36,12,120.9,0.896
Standard,Inst36,13,132.3,0.885
Standard,Inst36,14,160.6,0.925
Standard,Inst36,15,141.9,0.865
Standard,Inst36,16,171.6,0.909
Standard,Inst36,17,125.1,0.879
Standard,Inst36,18,157.4,0.924
Standard,Inst36,19,179.5,0.864
Standard,Inst36,20,136,0.883
Standard,Inst36,21,125.2,0.901
Standard,Inst36,22,165.4,0.893
Standard,Inst36,23,144.9,0.871
Standard,Inst36,24,147.8,0.837
Standard,Inst36,25,106,0.887
Standard,Inst36,26,146.1,0.871
Standard,Inst36,27,108.6,0.869
Standard,Inst36,28,186.2,0.87
Standard,Inst36,29,182.1,0.869
Standard,Inst36,30,165.7,0.894
Standard,Inst37,1,191.8,0.96
Standard,Inst37,2,180.4,0.927
Standard,Inst37,3,181.5,0.953
Standard,Inst37,4,197.7,0.93
Standard,Inst37,5,193,0.933
Standard,Inst37,6,221.2,0.946
Standard,Inst37,7,229.5,0.96
Standard,Inst37,8,213.7,0.954
Standard,Inst37,9,182.6,0.937
Standard,Inst37,10,194.1,0.959
Standard,Inst37,11,179.9,0.943
Standard,Inst37,12,197.3,0.897
Standard,Inst37,13,167.4,0.926
Standard,Inst37,14,197,0.928
Standard,Inst37,15,196.9,0.932
Standard,Inst37,16,145.6,0.938
Standard,Inst37,17,189.2,0.939
Standard,Inst37,18,186.7,0.921
Standard,Inst37,19,214.2,0.952
Standard,Inst37,20,204.9,0.978
Standard,Inst37,21,181.9,0.953
Standard,Inst37,22,194,0.925
Standard,Inst37,23,231.8,0.929
Standard,Inst37,24,189.4,0.918
Standard,Inst37,25,210.6,0.944
Standard,Inst37,26,174.2,0.933
Standard,Inst37,27,192.1,0.915
Standard,Inst37,28,198.3,0.946
Standard,Inst37,29,148,0.934
Standard,Inst37,30,166.8,0.927
Standard,Inst38,1,162.1,0.874
Standard,Inst38,2,179.4,0.905
Standard,Inst38,3,187.3,0.91
Standard,Inst38,4,157,0.893
Standard,Inst38,5,209.7,0.908
Standard,Inst38,6,172.1,0.868
Standard,Inst38,7,188.8,0.922
Standard,Inst38,8,154.9,0.878
Standard,Inst38,9,173,0.905
Standard,Inst38,10,178.6,0.905
Standard,Inst38,11,189.9,0.879
Standard,Inst38,12,206,0.864
Standard,Inst38,13,148.4,0.88
Standard,Inst38,14,168.8,0.93
Standard,Inst38,15,128.9,0.883
Standard,Inst38,16,181.6,0.925
Standard,Inst38,17,173.8,0.898
Standard,Inst38,18,170.2,0.888
Standard,Inst38,19,214.4,0.858
Standard,Inst38,20,172.9,0.878
Standard,Inst38,21,140.5,0.914
Standard,Inst38,22,180.7,0.929
Standard,Inst38,23,178.2,0.91
Standard,Inst38,24,144.9,0.939
Standard,Inst38,25,188.5,0.918
Standard,Inst38,26,161.1,0.904
Standard,Inst38,27,174.9,0.911
Standard,Inst38,28,196.1,0.893
Standard,Inst38,29,169.3,0.85
Standard,Inst38,30,168.7,0.923
Standard,Inst39,1,210.4,0.859
Standard,Inst39,2,149.9,0.861
Standard,Inst39,3,183.5,0.898
Standard,Inst39,4,171.8,0.889
Standard,Inst39,5,187.4,0.87
Standard,Inst39,6,160.6,0.902
Standard,Inst39,7,208.8,0.885
Standard,Inst39,8,198.2,0.906
Standard,Inst39,9,153.6,0.894
Standard,Inst39,10,177.8,0.889
Standard,Inst39,11,191.7,0.924
Standard,Inst39,12,165.2,0.898
Standard,Inst39,13,141.2,0.866
Standard,Inst39,14,156.2,0.875
Standard,Inst39,15,187.9,0.887
Standard,Inst39,16,193,0.861
Standard,Inst39,17,156.9,0.853
Standard,Inst39,18,168.6,0.852
Standard,Inst39,19,172.3,0.892
Standard,Inst39,20,171.6,0.881
Standard,Inst39,21,183.9,0.886
Standard,Inst39,22,199,0.852
Standard,Inst39,23,142.1,0.904
Standard,Inst39,24,179.9,0.896
Standard,Inst39,25,211.5,0.93
Standard,Inst39,26,203.4,0.893
Standard,Inst39,27,171.2,0.894
Standard,Inst39,28,147.3,0.875
Standard,Inst39,29,159.9,0.846
Standard,Inst39,30,185.3,0.868
Standard,Inst40,1,189.2,0.928
Standard,Inst40,2,177.1,0.885
Standard,Inst40,3,194,0.881
Standard,Inst40,4,180.2,0.863
Standard,Inst40,5,191.4,0.902
Standard,Inst40,6,146.2,0.884
Standard,Inst40,7,206.5,0.856
Standard,Inst40,8,190.3,0.853
Standard,Inst40,9,184.4,0.921
Standard,Inst40,10,206.7,0.912
Standard,Inst40,11,159.3,0.875
Standard,Inst40,12,205.5,0.877
Standard,Inst40,13,171.4,0.856
Standard,Inst40,14,223.9,0.899
Standard,Inst40,15,206.5,0.9
Standard,Inst40,16,156.1,0.873
Standard,Inst40,17,188.5,0.9
Standard,Inst40,18,179.6,0.888
Standard,Inst40,19,175.8,0.94
Standard,Inst40,20,178.2,0.886
Standard,Inst40,21,190,0.923
Standard,Inst40,22,198.1,0.874
Standard,Inst40,23,144.6,0.921
Standard,Inst40,24,209,0.906
Standard,Inst40,25,188.2,0.904
Standard,Inst40,26,155,0.893
Standard,Inst40,27,190.7,0.892
Standard,Inst40,28,178.1,0.92
Standard,Inst40,29,184.3,0.879
Standard,Inst40,30,185.8,0.89
Standard,Inst41,1,182,0.883
Standard,Inst41,2,172.6,0.916
Standard,Inst41,3,163,0.902
Standard,Inst41,4,157,0.889
Standard,Inst41,5,183.4,0.931
Standard,Inst41,6,187.7,0.909
Standard,Inst41,7,163.2,0.9
Standard,Inst41,8,171.3,0.932
Standard,Inst41,9,135.6,0.897
Standard,Inst41,10,165.6,0.908
Standard,Inst41,11,127.9,0.886
Standard,Inst41,12,148.3,0.913
Standard,Inst41,13,152.8,0.881
Standard,Inst41,14,191.1,0.883
Standard,Inst41,15,189.3,0.889
Standard,Inst41,16,182.7,0.859
Standard,Inst41,17,191.2,0.917
Standard,Inst41,18,177,0.876
Standard,Inst41,19,168.3,0.938
Standard,Inst41,20,152.6,0.873
Standard,Inst41,21,122.2,0.938
Standard,Inst41,22,153.9,0.884
Standard,Inst41,23,177.7,0.874
Standard,Inst41,24,171.3,0.952
Standard,Inst41,25,146.3,0.869
Standard,Inst41,26,162.5,0.904
Standard,Inst41,27,165.1,0.894
Standard,Inst41,28,162.5,0.91
Standard,Inst41,29,165.4,0.876
Standard,Inst41,30,166.7,0.908
Standard,Inst42,1,132.5,0.901
Standard,Inst42,2,139.6,0.934
Standard,Inst42,3,155.8,0.898
Standard,Inst42,4,140.3,0.917
Standard,Inst42,5,149,0.9
Standard,Inst42,6,150.6,0.896
Standard,Inst42,7,139.6,0.893
Standard,Inst42,8,133.2,0.885
Standard,Inst42,9,172.7,0.882
Standard,Inst42,10,125.7,0.895
Standard,Inst42,11,170.3,0.879
Standard,Inst42,12,188.8,0.9
Standard,Inst42,13,156.6,0.908
Standard,Inst42,14,164,0.916
Standard,Inst42,15,137.4,0.904
Standard,Inst42,16,158.6,0.909
Standard,Inst42,17,147.5,0.927
Standard,Inst42,18,157.9,0.9
Standard,Inst42,19,176.8,0.9
Standard,Inst42,20,129.3,0.885
Standard,Inst42,21,170.1,0.897
Standard,Inst42,22,178.4,0.893
Standard,Inst42,23,209.8,0.922
Standard,Inst42,24,161.4,0.91
Standard,Inst42,25,145.6,0.912
Standard,Inst42,26,141.5,0.875
Standard,Inst42,27,166.2,0.883
Standard,Inst42,28,216.3,0.887
Standard,Inst42,29,163.9,0.905
Standard,Inst42,30,171.4,0.899
Standard,Inst43,1,128.5,0.903
Standard,Inst43,2,155.7,0.894
Standard,Inst43,3,136.2,0.878
Standard,Inst43,4,137.2,0.897
Standard,Inst43,5,134.1,0.864
Standard,Inst43,6,163.3,0.881
Standard,Inst43,7,153,0.868
Standard,Inst43,8,131,0.876
Standard,Inst43,9,140.3,0.886
Standard,Inst43,10,121.5,0.907
Standard,Inst43,11,167.6,0.873
Standard,Inst43,12,145.4,0.86
Standard,Inst43,13,113.6,0.882
Standard,Inst43,14,152,0.918
Standard,Inst43,15,120.5,0.87
Standard,Inst43,16,180.5,0.945
Standard,Inst43,17,131,0.894
Standard,Inst43,18,162.9,0.882
Standard,Inst43,19,125.1,0.867
Standard,Inst43,20,118.4,0.895
Standard,Inst43,21,102.2,0.909
Standard,Inst43,22,161.2,0.9
Standard,Inst43,23,136.2,0.852
Standard,Inst43,24,139.5,0.889
Standard,Inst43,25,153.2,0.879
Standard,Inst43,26,117,0.875
Standard,Inst43,27,141.6,0.888
Standard,Inst43,28,140.2,0.909
Standard,Inst43,29,141.9,0.906
Standard,Inst43,30,107.3,0.871
Standard,Inst44,1,166.4,0.909
Standard,Inst44,2,220.1,0.895
Standard,Inst44,3,201.9,0.895
Standard,Inst44,4,204.6,0.912
Standard,Inst44,5,163.6,0.887
Standard,Inst44,6,182.8,0.912
Standard,Inst44,7,182.5,0.929
Standard,Inst44,8,202.1,0.933
Standard,Inst44,9,173.8,0.872
Standard,Inst44,10,177.2,0.883
Standard,Inst44,11,195.4,0.881
Standard,Inst44,12,173.8,0.913
Standard,Inst44,13,153.2,0.919
Standard,Inst44,14,126.8,0.909
Standard,Inst44,15,166.8,0.931
Standard,Inst44,16,148.7,0.882
Standard,Inst44,17,236.8,0.911
Standard,Inst44,18,128.3,0.874
Standard,Inst44,19,251.4,0.898
Standard,Inst44,20,194.6,0.853
Standard,Inst44,21,168.6,0.899
Standard,Inst44,22,137.6,0.91
Standard,Inst44,23,209.2,0.916
Standard,Inst44,24,141.1,0.865
Standard,Inst44,25,180.5,0.943
Standard,Inst44,26,178.2,0.88
Standard,Inst44,27,192.8,0.847
Standard,Inst44,28,195.5,0.921
Standard,Inst44,29,171.6,0.911
Standard,Inst44,30,212.7,0.887
Standard,Inst45,1,140.3,0.911
Standard,Inst45,2,175.9,0.908
Standard,Inst45,3,167.7,0.901
Standard,Inst45,4,175.7,0.899
Standard,Inst45,5,176.9,0.941
Standard,Inst45,6,199.1,0.928
Standard,Inst45,7,167.3,0.902
Standard,Inst45,8,140.3,0.906
Standard,Inst45,9,140.4,0.905
Standard,Inst45,10,158.9,0.93
Standard,Inst45,11,119.4,0.91
Standard,Inst45,12,135.2,0.881
Standard,Inst45,13,165.9,0.905
Standard,Inst45,14,157,0.915
Standard,Inst45,15,158,0.899
Standard,Inst45,16,185.1,0.878
Standard,Inst45,17,158.5,0.886
Standard,Inst45,18,205.6,0.939
Standard,Inst45,19,183.7,0.902
Standard,Inst45,20,175.9,0.912
Standard,Inst45,21,147.4,0.907
Standard,Inst45,22,166.5,0.896
Standard,Inst45,23,137.1,0.88
Standard,Inst45,24,177.1,0.909
Standard,Inst45,25,109.2,0.895
Standard,Inst45,26,169.4,0.876
Standard,Inst45,27,182.7,0.897
Standard,Inst45,28,155,0.913
Standard,Inst45,29,178,0.918
Standard,Inst45,30,174.9,0.847
Standard,Inst46,1,174.2,0.86
Standard,Inst46,2,191.9,0.912
Standard,Inst46,3,155.4,0.91
Standard,Inst46,4,174,0.876
Standard,Inst46,5,188.2,0.866
Standard,Inst46,6,209.8,0.836
Standard,Inst46,7,150.2,0.886
Standard,Inst46,8,164.6,0.873
Standard,Inst46,9,210.4,0.858
Standard,Inst46,10,163.2,0.88
Standard,Inst46,11,192.3,0.851
Standard,Inst46,12,149,0.864
Standard,Inst46,13,153.2,0.87
Standard,Inst46,14,170.3,0.887
Standard,Inst46,15,135.3,0.88
Standard,Inst46,16,183,0.87
Standard,Inst46,17,188,0.859
Standard,Inst46,18,206.6,0.848
Standard,Inst46,19,155.1,0.864
Standard,Inst46,20,167.4,0.884
Standard,Inst46,21,157.9,0.853
Standard,Inst46,22,177.3,0.865
Standard,Inst46,23,132.9,0.899
Standard,Inst46,24,186.7,0.861
Standard,Inst46,25,136.6,0.907
Standard,Inst46,26,176.1,0.883
Standard,Inst46,27,182.9,0.907
Standard,Inst46,28,187.3,0.855
Standard,Inst46,29,178.9,0.88
Standard,Inst46,30,146.7,0.863
Standard,Inst47,1,177.2,0.898
Standard,Inst47,2,183.3,0.889
Standard,Inst47,3,199,0.92
Standard,Inst47,4,173.4,0.874
Standard,Inst47,5,209.1,0.889
Standard,Inst47,6,193.2,0.909
Standard,Inst47,7,180.7,0.929
Standard,Inst47,8,165,0.906
Standard,Inst47,9,183.6,0.93
Standard,Inst47,10,168.1,0.894
Standard,Inst47,11,161.3,0.887
Standard,Inst47,12,174.7,0.913
Standard,Inst47,13,209.5,0.893
Standard,Inst47,14,161.2,0.892
Standard,Inst47,15,190.4,0.898
Standard,Inst47,16,198.4,0.927
Standard,Inst47,17,187.8,0.904
Standard,Inst47,18,192.4,0.926
Standard,Inst47,19,197.2,0.875
Standard,Inst47,20,173.9,0.893
Standard,Inst47,21,185.4,0.907
Standard,Inst47,22,218.9,0.887
Standard,Inst47,23,185.9,0.874
Standard,Inst47,24,175.3,0.965
Standard,Inst47,25,175.2,0.893
Standard,Inst47,26,161.5,0.895
Standard,Inst47,27,215.1,0.889
Standard,Inst47,28,195.3,0.842
Standard,Inst47,29,149.6,0.904
Standard,Inst47,30,162,0.895
Standard,Inst48,1,163.7,0.908
Standard,Inst48,2,184.6,0.922
Standard,Inst48,3,224.9,0.899
Standard,Inst48,4,175,0.91
Standard,Inst48,5,227.1,0.934
Standard,Inst48,6,173.1,0.931
Standard,Inst48,7,192.4,0.891
Standard,Inst48,8,209.5,0.883
Standard,Inst48,9,189.1,0.876
Standard,Inst48,10,218.5,0.891
Standard,Inst48,11,186.3,0.928
Standard,Inst48,12,184,0.889
Standard,Inst48,13,212.1,0.905
Standard,Inst48,14,196.2,0.901
Standard,Inst48,15,213.4,0.901
Standard,Inst48,16,152.9,0.923
Standard,Inst48,17,202.5,0.921
Standard,Inst48,18,182.2,0.892
Standard,Inst48,19,223.5,0.87
Standard,Inst48,20,201.6,0.916
Standard,Inst48,21,169.7,0.888
Standard,Inst48,22,212.2,0.9
Standard,Inst48,23,151.9,0.919
Standard,Inst48,24,213.8,0.932
Standard,Inst48,25,208.4,0.881
Standard,Inst48,26,238.4,0.949
Standard,Inst48,27,178.4,0.928
Standard,Inst48,28,196,0.953
Standard,Inst48,29,190.8,0.93
Standard,Inst48,30,186.1,0.883
Standard,Inst49,1,188.4,0.873
Standard,Inst49,2,191.2,0.889
Standard,Inst49,3,199.4,0.877
Standard,Inst49,4,173.2,0.882
Standard,Inst49,5,203.2,0.892
Standard,Inst49,6,162,0.868
Standard,Inst49,7,159.5,0.906
Standard,Inst49,8,213.3,0.853
Standard,Inst49,9,165.4,0.916
Standard,Inst49,10,192.2,0.906
Standard,Inst49,11,197,0.91
Standard,Inst49,12,163.9,0.909
Standard,Inst49,13,186.8,0.918
Standard,Inst49,14,194.5,0.906
Standard,Inst49,15,214.6,0.879
Standard,Inst49,16,189.9,0.875
Standard,Inst49,17,163.4,0.889
Standard,Inst49,18,201.1,0.888
Standard,Inst49,19,173.7,0.885
Standard,Inst49,20,180.1,0.891
Standard,Inst49,21,204.6,0.902
Standard,Inst49,22,219.7,0.873
Standard,Inst49,23,179.7,0.888
Standard,Inst49,24,194.3,0.896
Standard,Inst49,25,175,0.876
Standard,Inst49,26,206.6,0.846
Standard,Inst49,27,173,0.884
Standard,Inst49,28,206.6,0.911
Standard,Inst49,29,210.6,0.878
Standard,Inst49,30,198.3,0.878
Standard,Inst50,1,187.3,0.919
Standard,Inst50,2,187.2,0.91
Standard,Inst50,3,198,0.928
Standard,Inst50,4,188.9,0.961
Standard,Inst50,5,187.3,0.89
Standard,Inst50,6,185.8,0.894
Standard,Inst50,7,167.8,0.906
Standard,Inst50,8,193.3,0.868
Standard,Inst50,9,178.1,0.916
Standard,Inst50,10,202.5,0.899
Standard,Inst50,11,166.3,0.921
Standard,Inst50,12,178.8,0.937
Standard,Inst50,13,188.6,0.895
Standard,Inst50,14,216.9,0.898
Standard,Inst50,15,163.5,0.894
Standard,Inst50,16,175.1,0.893
Standard,Inst50,17,182.4,0.884
Standard,Inst50,18,208.4,0.892
Standard,Inst50,19,209.5,0.865
Standard,Inst50,20,141.3,0.911
Standard,Inst50,21,172.1,0.921
Standard,Inst50,22,208.6,0.925
Standard,Inst50,23,141.4,0.914
Standard,Inst50,24,194.4,0.885
Standard,Inst50,25,191,0.919
Standard,Inst50,26,211.7,0.926
Standard,Inst50,27,183,0.915
Standard,Inst50,28,164,0.92
Standard,Inst50,29,205.3,0.891
Standard,Inst50,30,190.7,0.933
Standard,Inst51,1,225,0.962
Standard,Inst51,2,162.3,0.925
Standard,Inst51,3,199.7,0.898
Standard,Inst51,4,220.5,0.921
Standard,Inst51,5,173.8,0.914
Standard,Inst51,6,201.8,0.91
Standard,Inst51,7,162.4,0.903
Standard,Inst51,8,178,0.923
Standard,Inst51,9,204.5,0.893
Standard,Inst51,10,183.3,0.894
Standard,Inst51,11,208,0.926
Standard,Inst51,12,175.3,0.911
Standard,Inst51,13,186.8,0.904
Standard,Inst51,14,201,0.922
Standard,Inst51,15,201.9,0.91
Standard,Inst51,16,165.1,0.93
Standard,Inst51,17,201.8,0.925
Standard,Inst51,18,209.2,0.891
Standard,Inst51,19,215.8,0.929
Standard,Inst51,20,216.6,0.92
Standard,Inst51,21,201.3,0.889
Standard,Inst51,22,198.5,0.93
Standard,Inst51,23,230.2,0.943
Standard,Inst51,24,207.3,0.922
Standard,Inst51,25,187.7,0.964
Standard,Inst51,26,189.9,0.903
Standard,Inst51,27,181.4,0.94
Standard,Inst51,28,243.2,0.909
Standard,Inst51,29,179.3,0.911
Standard,Inst51,30,214.4,0.921
Standard,Inst52,1,201,0.909
Standard,Inst52,2,200.9,0.918
Standard,Inst52,3,178.5,0.919
Standard,Inst52,4,229.1,0.87
Standard,Inst52,5,197.6,0.919
Standard,Inst52,6,181.3,0.902
Standard,Inst52,7,179.4,0.928
Standard,Inst52,8,200,0.915
Standard,Inst52,9,239.1,0.909
Standard,Inst52,10,183.9,0.935
Standard,Inst52,11,184.9,0.882
Standard,Inst52,12,180.7,0.903
Standard,Inst52,13,203.4,0.906
Standard,Inst52,14,167.2,0.934
Standard,Inst52,15,205.5,0.911
Standard,Inst52,16,206.2,0.91
Standard,Inst52,17,153.9,0.94
Standard,Inst52,18,169.6,0.907
Standard,Inst52,19,222,0.876
Standard,Inst52,20,198.2,0.919
Standard,Inst52,21,216.2,0.937
Standard,Inst52,22,218.3,0.933
Standard,Inst52,23,193.1,0.912
Standard,Inst52,24,195.6,0.937
Standard,Inst52,25,212.4,0.926
Standard,Inst52,26,184.8,0.914
Standard,Inst52,27,200.9,0.891
Standard,Inst52,28,229.9,0.897
Standard,Inst52,29,234.2,0.934
Standard,Inst52,30,174.8,0.896
Standard,Inst53,1,206.9,0.925
Standard,Inst53,2,182,0.954
Standard,Inst53,3,177.9,0.925
Standard,Inst53,4,187.6,0.914
Standard,Inst53,5,206.2,0.874
Standard,Inst53,6,204,0.917
Standard,Inst53,7,187.9,0.906
Standard,Inst53,8,196.3,0.936
Standard,Inst53,9,186.6,0.918
Standard,Inst53,10,201.9,0.9
Standard,Inst53,11,211,0.918
Standard,Inst53,12,176.7,0.892
Standard,Inst53,13,208,0.886
Standard,Inst53,14,176.5,0.894
Standard,Inst53,15,201.8,0.911
Standard,Inst53,16,132.4,0.917
Standard,Inst53,17,182.1,0.912
Standard,Inst53,18,213.5,0.893
Standard,Inst53,19,177.8,0.95
Standard,Inst53,20,179.7,0.916
Standard,Inst53,21,151.9,0.906
Standard,Inst53,22,213.8,0.922
Standard,Inst53,23,207.9,0.936
Standard,Inst53,24,212.7,0.919
Standard,Inst53,25,204.5,0.93
Standard,Inst53,26,184.8,0.904
Standard,Inst53,27,214.7,0.929
Standard,Inst53,28,167.8,0.918
Standard,Inst53,29,188.1,0.878
Standard,Inst53,30,182.7,0.887
Standard,Inst54,1,185.5,0.94
Standard,Inst54,2,200.1,0.927
Standard,Inst54,3,144.6,0.903
Standard,Inst54,4,171,0.901
Standard,Inst54,5,197.7,0.911
Standard,Inst54,6,170.8,0.912
Standard,Inst54,7,208.9,0.901
Standard,Inst54,8,172.4,0.921
Standard,Inst54,9,199.2,0.887
Standard,Inst54,10,184.8,0.957
Standard,Inst54,11,201.4,0.936
Standard,Inst54,12,176.8,0.94
Standard,Inst54,13,183.2,0.936
Standard,Inst54,14,189.7,0.892
Standard,Inst54,15,170.5,0.929
Standard,Inst54,16,172.8,0.9
Standard,Inst54,17,216.2,0.916
Standard,Inst54,18,169.7,0.93
Standard,Inst54,19,167.2,0.941
Standard,Inst54,20,173.6,0.88
Standard,Inst54,21,170.7,0.924
Standard,Inst54,22,174.1,0.914
Standard,Inst54,23,189,0.929
Standard,Inst54,24,184.9,0.941
Standard,Inst54,25,167.4,0.913
Standard,Inst54,26,182.8,0.898
Standard,Inst54,27,166.1,0.884
Standard,Inst54,28,144.8,0.916
Standard,Inst54,29,178.4,0.916
Standard,Inst54,30,169.1,0.946
Standard,Inst55,1,246.6,0.887
Standard,Inst55,2,222.6,0.896
Standard,Inst55,3,215,0.869
Standard,Inst55,4,185.1,0.897
Standard,Inst55,5,189.3,0.91
Standard,Inst55,6,192,0.914
Standard,Inst55,7,173.7,0.853
Standard,Inst55,8,171.8,0.887
Standard,Inst55,9,195.4,0.88
Standard,Inst55,10,191.9,0.852
Standard,Inst55,11,234.4,0.929
Standard,Inst55,12,218.4,0.871
Standard,Inst55,13,217.5,0.926
Standard,Inst55,14,224.4,0.908
Standard,Inst55,15,180.2,0.868
Standard,Inst55,16,194.1,0.885
Standard,Inst55,17,190.6,0.896
Standard,Inst55,18,215,0.92
Standard,Inst55,19,177.9,0.885
Standard,Inst55,20,198.5,0.909
Standard,Inst55,21,237.2,0.88
Standard,Inst55,22,190.4,0.88
Standard,Inst55,23,221.4,0.881
Standard,Inst55,24,157.5,0.881
Standard,Inst55,25,178.8,0.89
Standard,Inst55,26,224.6,0.9
Standard,Inst55,27,217.6,0.898
Standard,Inst55,28,198.7,0.917
Standard,Inst55,29,186.5,0.873
Standard,Inst55,30,207.3,0.898
Standard,Inst56,1,168.3,0.943
Standard,Inst56,2,166,0.917
Standard,Inst56,3,165.1,0.941
Standard,Inst56,4,194.5,0.919
Standard,Inst56,5,140.1,0.892
Standard,Inst56,6,175.7,0.953
Standard,Inst56,7,189,0.91
Standard,Inst56,8,197.2,0.944
Standard,Inst56,9,211.6,0.906
Standard,Inst56,10,166.8,0.95
Standard,Inst56,11,192,0.923
Standard,Inst56,12,200.1,0.911
Standard,Inst56,13,159.5,0.94
Standard,Inst56,14,172.7,0.933
Standard,Inst56,15,185.4,0.93
Standard,Inst56,16,184.4,0.92
Standard,Inst56,17,183.1,0.938
Standard,Inst56,18,183.2,0.881
Standard,Inst56,19,197.4,0.928
Standard,Inst56,20,197.3,0.925
Standard,Inst56,21,184.5,0.945
Standard,Inst56,22,148.4,0.958
Standard,Inst56,23,205,0.942
Standard,Inst56,24,160.9,0.926
Standard,Inst56,25,210.2,0.933
Standard,Inst56,26,203.2,0.909
Standard,Inst56,27,201.5,0.939
Standard,Inst56,28,195.4,0.911
Standard,Inst56,29,195.7,0.936
Standard,Inst56,30,196.9,0.901
Standard,Inst57,1,156,0.919
Standard,Inst57,2,151.2,0.909
Standard,Inst57,3,200.2,0.91
Standard,Inst57,4,201.6,0.9
Standard,Inst57,5,180.1,0.923
Standard,Inst57,6,183.2,0.929
Standard,Inst57,7,192.4,0.906
Standard,Inst57,8,205.1,0.928
Standard,Inst57,9,188,0.902
Standard,Inst57,10,176.8,0.931
Standard,Inst57,11,183.8,0.926
Standard,Inst57,12,223.4,0.908
Standard,Inst57,13,140.9,0.877
Standard,Inst57,14,183.9,0.91
Standard,Inst57,15,165.8,0.853
Standard,Inst57,16,194.8,0.907
Standard,Inst57,17,165.1,0.938
Standard,Inst57,18,183.4,0.946
Standard,Inst57,19,168.5,0.899
Standard,Inst57,20,185.2,0.886
Standard,Inst57,21,204.8,0.877
Standard,Inst57,22,170.7,0.897
Standard,Inst57,23,189.5,0.906
Standard,Inst57,24,181.8,0.922
Standard,Inst57,25,172.8,0.901
Standard,Inst57,26,192.9,0.938
Standard,Inst57,27,168.4,0.918
Standard,Inst57,28,181.9,0.914
Standard,Inst57,29,208,0.909
Standard,Inst57,30,196.4,0.923
